id,sender,timestamp,text
455,Dave,2024-01-01T21:07:00,Уже почти готово.
456,Carol,2024-01-12T07:29:00,Можешь посмотреть позже?
457,Heidi,2024-01-04T19:42:00,"Проверил, всё работает."
458,Bob,2024-01-01T19:19:00,Когда созвон?
459,Alice,2024-01-13T20:45:00,"Супер, спасибо!"
460,Bob,2024-01-03T15:39:00,"Да, видел это вчера."
461,Bob,2024-01-04T01:16:00,Не вижу сообщения.
462,Frank,2024-01-02T07:23:00,Через час буду на связи.
463,Dave,2024-01-05T03:55:00,Когда созвон?
464,Eve,2024-01-07T22:07:00,"Ок, принял."
465,Carol,2024-01-06T07:01:00,"Отлично, так и сделаем."
466,Frank,2024-01-03T06:41:00,Есть новости по задаче?
467,Heidi,2024-01-04T08:50:00,Вышло новое обновление.
468,Bob,2024-01-10T04:17:00,Это звучит странно.
469,Frank,2024-01-14T13:15:00,Сделаю вечером.
470,Grace,2024-01-13T22:53:00,"Проверил, всё работает."
471,Grace,2024-01-12T23:43:00,"Готово, можно проверять."
472,Carol,2024-01-12T04:09:00,Сделаю вечером.
473,Heidi,2024-01-04T18:55:00,"Да, видел это вчера."
474,Carol,2024-01-06T01:53:00,Мне нужно больше деталей.
475,Eve,2024-01-09T23:39:00,Уже почти готово.
476,Frank,2024-01-13T15:19:00,Запускаю тесты.
477,Frank,2024-01-12T16:33:00,Пока без изменений.
478,Frank,2024-01-13T04:35:00,Сделаю вечером.
479,Heidi,2024-01-06T13:37:00,Отправил в личку.
480,Bob,2024-01-05T08:05:00,"Проверил, всё работает."
481,Bob,2024-01-03T20:19:00,"Скинь, пожалуйста, ссылку."
482,Frank,2024-01-12T03:54:00,Есть новости по задаче?
483,Grace,2024-01-08T07:59:00,Мне нужно больше деталей.
484,Heidi,2024-01-04T09:31:00,"Перепроверь, пожалуйста."
485,Heidi,2024-01-06T19:31:00,"Перепроверь, пожалуйста."
486,Grace,2024-01-10T15:38:00,Когда созвон?
487,Dave,2024-01-15T03:45:00,Пока без изменений.
488,Eve,2024-01-14T02:17:00,Уже почти готово.
489,Dave,2024-01-03T07:24:00,"Отлично, так и сделаем."
490,Grace,2024-01-13T13:28:00,Запускаю тесты.
491,Alice,2024-01-04T21:10:00,Что по дедлайну?
492,Frank,2024-01-11T02:28:00,Мне нужно больше деталей.
493,Frank,2024-01-03T04:22:00,"Супер, спасибо!"
494,Frank,2024-01-14T04:58:00,Давайте решим это завтра.
495,Dave,2024-01-13T06:00:00,Можно перенести встречу?
496,Alice,2024-01-08T19:22:00,Сделаю вечером.
497,Carol,2024-01-14T14:45:00,"Я думаю, это хорошая идея."
498,Heidi,2024-01-09T06:45:00,"Отлично, так и сделаем."
499,Heidi,2024-01-12T06:28:00,Уже почти готово.
500,Grace,2024-01-14T07:51:00,"Супер, спасибо!"
